skill,precision,recall,f1,tp,fp,fn
API Testing,0.462069,0.757062,0.573876,134,156,43
ASP.NET Core,1.000000,0.190000,0.319328,19,0,81
AWS,0.197740,0.875000,0.322581,35,142,5
Actix Web (Rust),1.000000,0.120370,0.214876,13,0,95
Ansible,1.000000,0.151261,0.262774,18,0,101
Apache Airflow,1.000000,0.883721,0.938272,114,0,15
Apache Flink,1.000000,0.131868,0.233010,12,0,79
Apache Kafka,0.739837,1.000000,0.850467,91,32,0
Apache Spark,0.972477,0.400000,0.566845,106,3,159
Argo CD,0.000000,0.000000,0.000000,0,0,44
Automated Testing,0.034639,0.821429,0.066474,23,641,5
Avro,1.000000,0.021390,0.041885,4,0,183
Azure,0.409091,0.236842,0.300000,9,13,29
Bash,0.660606,1.000000,0.795620,109,56,0
BigQuery,1.000000,0.020833,0.040816,2,0,94
Burp Suite,1.000000,0.086022,0.158416,8,0,85
C,1.000000,1.000000,1.000000,111,0,0
C#,1.000000,1.000000,1.000000,100,0,0
C++,1.000000,0.117117,0.209677,13,0,98
CVE Analysis,0.052632,0.050000,0.051282,1,18,19
Caching,0.233480,0.490741,0.316418,53,174,55
Cassandra,0.000000,0.000000,0.000000,0,0,20
CircleCI,0.000000,0.000000,0.000000,0,0,25
Contract Testing,0.906977,0.367925,0.523490,39,4,67
Cypress,0.000000,0.000000,0.000000,0,0,23
DAST,1.000000,0.048780,0.093023,2,0,39
Data Modeling,0.328267,0.590164,0.421875,108,221,75
Data Warehousing,0.191781,0.817518,0.310680,112,472,25
Databricks,0.000000,0.000000,0.000000,0,0,49
Delta Lake,0.250000,0.046512,0.078431,2,6,41
Dimensional Modeling,0.190476,0.533333,0.280702,8,34,7
Django,0.937500,0.132743,0.232558,15,1,98
Docker,0.844488,0.910828,0.876404,429,79,42
ELK Stack,1.000000,0.663717,0.797872,75,0,38
Elasticsearch,0.441558,0.204819,0.279835,34,43,132
Elixir,1.000000,0.068966,0.129032,2,0,27
Encryption,0.055172,0.363636,0.095808,8,137,14
End-to-End Testing,0.111111,0.050000,0.068966,1,8,19
Event-Driven Architecture,0.714976,0.860465,0.781003,148,59,24
Express.js,0.000000,0.000000,0.000000,0,12,46
FastAPI,1.000000,0.204082,0.338983,20,0,78
Flask,1.000000,0.161290,0.277778,15,0,78
Gin (Go),1.000000,0.075472,0.140351,8,0,98
