skill,precision,recall,f1,tp,fp,fn
API Testing,0.585635,1.000000,0.738676,106,75,0
ASP.NET Core,0.937500,1.000000,0.967742,15,1,0
AWS,0.000000,0.000000,0.000000,0,2,0
Actix Web (Rust),1.000000,1.000000,1.000000,13,0,0
Ansible,1.000000,1.000000,1.000000,18,0,0
Apache Airflow,1.000000,1.000000,1.000000,109,0,0
Apache Flink,1.000000,1.000000,1.000000,12,0,0
Apache Kafka,0.989130,1.000000,0.994536,91,1,0
Apache Spark,0.636364,1.000000,0.777778,35,20,0
Automated Testing,0.000000,0.000000,0.000000,0,397,0
Avro,1.000000,1.000000,1.000000,3,0,0
Bash,0.915966,1.000000,0.956140,109,10,0
BigQuery,1.000000,1.000000,1.000000,2,0,0
Burp Suite,1.000000,0.727273,0.842105,8,0,3
C,1.000000,1.000000,1.000000,111,0,0
C#,1.000000,1.000000,1.000000,100,0,0
C++,1.000000,1.000000,1.000000,13,0,0
CVE Analysis,0.000000,0.000000,0.000000,0,19,0
Caching,0.000000,0.000000,0.000000,0,96,0
Contract Testing,0.525000,1.000000,0.688525,21,19,0
Data Modeling,0.450000,0.900000,0.600000,9,11,1
Data Warehousing,0.000000,0.000000,0.000000,0,15,0
Delta Lake,0.000000,0.000000,0.000000,0,7,0
Dimensional Modeling,0.000000,0.000000,0.000000,0,11,0
Django,1.000000,1.000000,1.000000,15,0,0
Docker,0.623711,1.000000,0.768254,121,73,0
ELK Stack,1.000000,0.663717,0.797872,75,0,38
Elasticsearch,0.363636,1.000000,0.533333,24,42,0
Elixir,1.000000,1.000000,1.000000,2,0,0
Encryption,0.000000,0.000000,0.000000,0,82,0
End-to-End Testing,0.000000,0.000000,0.000000,0,6,0
Event-Driven Architecture,0.760274,1.000000,0.863813,111,35,0
Express.js,0.000000,0.000000,0.000000,0,12,0
FastAPI,1.000000,1.000000,1.000000,20,0,0
Flask,1.000000,1.000000,1.000000,12,0,0
Gin (Go),1.000000,0.380952,0.551724,8,0,13
GitHub Actions,1.000000,1.000000,1.000000,90,0,0
Go,1.000000,0.990566,0.995261,105,0,1
GraphQL,1.000000,1.000000,1.000000,94,0,0
Haskell,1.000000,1.000000,1.000000,1,0,0
Identity and Access Management,0.000000,0.000000,0.000000,0,23,0
Incident Response,0.079038,1.000000,0.146497,23,268,0
InfluxDB,1.000000,1.000000,1.000000,2,0,0
Integration Testing,0.000000,0.000000,0.000000,0,3,0
JMeter,0.990000,0.900000,0.942857,99,1,11
JWT,0.000000,0.000000,0.000000,0,45,0
Java,0.990196,1.000000,0.995074,101,1,0
JavaScript,0.000000,0.000000,0.000000,0,16,0
Jenkins,0.866667,1.000000,0.928571,13,2,0
Julia,1.000000,1.000000,1.000000,1,0,0
Key Management,0.000000,0.000000,0.000000,0,25,0
Kotlin,1.000000,1.000000,1.000000,94,0,0
Kubernetes,0.684211,1.000000,0.812500,13,6,0
Laravel,1.000000,1.000000,1.000000,12,0,0
Linux,0.000000,0.000000,0.000000,0,1,0
Load Testing,0.000000,0.000000,0.000000,0,60,0
MATLAB,1.000000,1.000000,1.000000,1,0,0
Manual Testing,0.000000,0.000000,0.000000,0,5,0
Microservices,0.276276,1.000000,0.432941,92,241,0
MongoDB,1.000000,1.000000,1.000000,98,0,0
Multi-Factor Authentication,0.000000,0.000000,0.000000,0,8,0
Neo4j,0.250000,1.000000,0.400000,1,3,0
Network Security,0.897436,1.000000,0.945946,105,12,0
Nmap,1.000000,1.000000,1.000000,14,0,0
Node.js,0.991071,1.000000,0.995516,111,1,0
OAuth 2.0,0.000000,0.000000,0.000000,0,76,0
OWASP Top 10,1.000000,1.000000,1.000000,116,0,0
OpenAPI Specification,0.000000,0.000000,0.000000,0,16,0
OpenTelemetry,0.000000,0.000000,0.000000,0,1,0
PHP,1.000000,1.000000,1.000000,75,0,0
Parquet,1.000000,1.000000,1.000000,5,0,0
Penetration Testing,0.958763,1.000000,0.978947,93,4,0
Performance Testing,0.213333,1.000000,0.351648,16,59,0
Playwright,1.000000,0.930693,0.964103,94,0,7
PostgreSQL,0.875000,1.000000,0.933333,7,1,0
Postman,0.000000,0.000000,0.000000,0,4,0
PowerShell,0.739130,1.000000,0.850000,17,6,0
Prometheus,1.000000,1.000000,1.000000,15,0,0
Python,1.000000,1.000000,1.000000,304,0,0
R,0.250000,1.000000,0.400000,2,6,0
REST API Design,0.068841,1.000000,0.128814,19,257,0
RabbitMQ,0.920000,1.000000,0.958333,23,2,0
Rate Limiting,0.000000,0.000000,0.000000,0,32,0
Regression Testing,0.372881,1.000000,0.543210,22,37,0
Ruby,1.000000,1.000000,1.000000,91,0,0
Ruby on Rails,1.000000,1.000000,1.000000,8,0,0
Rust,1.000000,1.000000,1.000000,108,0,0
SAST,0.941176,1.000000,0.969697,16,1,0
SIEM,1.000000,1.000000,1.000000,112,0,0
SQL,0.943953,1.000000,0.971168,320,19,0
SQLite,0.000000,0.000000,0.000000,0,1,0
Scala,1.000000,1.000000,1.000000,1,0,0
Secure Code Review,0.000000,0.000000,0.000000,0,30,0
Smoke Testing,0.000000,0.000000,0.000000,0,2,0
Snowflake,0.000000,0.000000,0.000000,0,1,0
Splunk,0.000000,0.000000,0.000000,0,1,0
Spring Boot,1.000000,1.000000,1.000000,14,0,0
Stress Testing,0.000000,0.000000,0.000000,0,10,0
Swift,0.578947,1.000000,0.733333,11,8,0
TLS,0.000000,0.000000,0.000000,0,8,0
Terraform,0.983471,1.000000,0.991667,119,2,0
Test Case Design,0.000000,0.000000,0.000000,0,59,0
Test Planning,0.000000,0.000000,0.000000,0,14,0
UI Testing,0.300000,1.000000,0.461538,12,28,0
Unit Testing,1.000000,1.000000,1.000000,114,0,0
Vulnerability Scanning,0.000000,0.000000,0.000000,0,126,0
dbt,1.000000,1.000000,1.000000,19,0,0
gRPC,0.000000,0.000000,0.000000,0,1,0
