skill,precision,recall,f1,tp,fp,fn
API Testing,0.110092,0.169014,0.133333,12,97,59
ASP.NET Core,1.000000,0.035294,0.068182,3,0,82
AWS,0.194286,0.850000,0.316279,34,141,6
Actix Web (Rust),0.000000,0.000000,0.000000,0,0,95
Ansible,0.000000,0.000000,0.000000,0,0,101
Apache Airflow,1.000000,0.250000,0.400000,5,0,15
Apache Flink,0.000000,0.000000,0.000000,0,0,79
Apache Kafka,0.000000,0.000000,0.000000,0,31,0
Apache Spark,0.962963,0.226087,0.366197,52,2,178
Argo CD,0.000000,0.000000,0.000000,0,0,44
Automated Testing,0.082397,0.785714,0.149153,22,245,6
Avro,1.000000,0.005435,0.010811,1,0,183
Azure,0.409091,0.236842,0.300000,9,13,29
Bash,0.000000,0.000000,0.000000,0,46,0
BigQuery,0.000000,0.000000,0.000000,0,0,94
Burp Suite,0.000000,0.000000,0.000000,0,0,82
C++,0.000000,0.000000,0.000000,0,0,98
CVE Analysis,0.000000,0.000000,0.000000,0,0,20
Caching,0.335878,0.407407,0.368201,44,87,64
Cassandra,0.000000,0.000000,0.000000,0,0,20
CircleCI,0.000000,0.000000,0.000000,0,0,25
Contract Testing,1.000000,0.035294,0.068182,3,0,82
Cypress,0.000000,0.000000,0.000000,0,0,23
DAST,1.000000,0.048780,0.093023,2,0,39
Data Modeling,0.310680,0.554913,0.398340,96,213,77
Data Warehousing,0.179262,0.744526,0.288952,102,467,35
Databricks,0.000000,0.000000,0.000000,0,0,49
Delta Lake,1.000000,0.023256,0.045455,1,0,42
Dimensional Modeling,0.161290,0.333333,0.217391,5,26,10
Django,0.000000,0.000000,0.000000,0,1,98
Docker,0.748408,0.671429,0.707831,235,79,115
Elasticsearch,0.818182,0.063380,0.117647,9,2,133
Elixir,0.000000,0.000000,0.000000,0,0,27
Encryption,0.095238,0.272727,0.141176,6,57,16
End-to-End Testing,0.333333,0.050000,0.086957,1,2,19
Event-Driven Architecture,0.229508,0.229508,0.229508,14,47,47
Express.js,0.000000,0.000000,0.000000,0,0,46
FastAPI,0.000000,0.000000,0.000000,0,0,78
Flask,1.000000,0.037037,0.071429,3,0,78
Gin (Go),0.000000,0.000000,0.000000,0,0,85
GitHub Actions,0.000000,0.000000,0.000000,0,7,0
GitLab CI,0.000000,0.000000,0.000000,0,0,23
Google Cloud,0.285714,0.146341,0.193548,6,15,35
Grafana,0.816667,0.312102,0.451613,49,11,108
GraphQL,0.000000,0.000000,0.000000,0,2,0
Haskell,0.000000,0.000000,0.000000,0,0,32
Helm,0.000000,0.000000,0.000000,0,0,121
Identity and Access Management,0.087302,0.478261,0.147651,11,115,12
Incident Response,0.105402,0.629921,0.180587,80,679,47
InfluxDB,1.000000,0.016393,0.032258,1,0,60
Integration Testing,0.203704,0.215686,0.209524,11,43,40
JWT,0.766839,0.349057,0.479741,148,45,276
Jaeger,0.000000,0.000000,0.000000,0,0,56
Java,1.000000,0.142857,0.250000,2,0,12
JavaScript,0.428571,0.142857,0.214286,3,4,18
Jenkins,0.000000,0.000000,0.000000,0,1,77
Julia,0.000000,0.000000,0.000000,0,0,27
Key Management,0.272727,0.176471,0.214286,3,8,14
Kubernetes,0.415254,0.272222,0.328859,49,69,131
Laravel,0.000000,0.000000,0.000000,0,0,63
Linux,0.652482,0.306667,0.417234,92,49,208
Load Testing,0.446154,0.263636,0.331429,29,36,81
Lua,0.000000,0.000000,0.000000,0,0,22
MATLAB,0.000000,0.000000,0.000000,0,0,35
Manual Testing,0.157895,0.103448,0.125000,3,16,26
Metasploit,0.000000,0.000000,0.000000,0,0,93
Microservices,0.566946,0.680905,0.618721,271,207,127
MongoDB,0.000000,0.000000,0.000000,0,3,0
Multi-Factor Authentication,0.114286,0.266667,0.160000,4,31,11
MySQL,0.550000,0.146667,0.231579,11,9,64
NATS,0.000000,0.000000,0.000000,0,0,19
Neo4j,1.000000,0.065574,0.123077,4,0,57
NestJS,0.000000,0.000000,0.000000,0,0,48
Network Security,0.161290,0.612245,0.255319,30,156,19
Nginx,1.000000,0.056604,0.107143,3,0,50
Nmap,0.000000,0.000000,0.000000,0,0,103
Node.js,0.916667,0.106796,0.191304,11,1,92
OAuth 2.0,0.442191,0.689873,0.538937,218,275,98
OWASP Top 10,0.333333,0.058824,0.100000,1,2,16
OpenAPI Specification,1.000000,0.073593,0.137097,17,0,214
OpenTelemetry,0.833333,0.084746,0.153846,5,1,54
PKI,1.000000,0.020408,0.040000,1,0,48
Parquet,1.000000,0.007634,0.015152,2,0,260
Penetration Testing,0.000000,0.000000,0.000000,0,8,0
Performance Testing,0.096354,0.393617,0.154812,37,347,57
Perl,0.000000,0.000000,0.000000,0,0,19
